id,url,question,answer
82,http://www.freebase.com/view/en/michigan,what time zone am i in michigan?,North American Eastern Time Zone
83,http://www.freebase.com/view/en/new_york_knicks,when did the new york knicks win a championship?,1970 NBA Finals
84,http://www.freebase.com/view/en/china,what is the official language of china 2010?,Chinese language
85,http://www.freebase.com/view/en/woodrow_wilson,what was woodrow wilson's major accomplishments?,United States Secretary of Agriculture
86,http://www.freebase.com/view/en/jack_daniels,where is jack daniels factory?,Tennessee
87,http://www.freebase.com/view/en/pakistan,what language do the speak in pakistan?,English Language
88,http://www.freebase.com/view/en/santa_clara_university,where is santa clara university?,United States of America
89,http://www.freebase.com/view/en/korea,which part of korea is communist?,North Korea
90,http://www.freebase.com/view/en/timothy_mcveigh,where did timothy mcveigh go to prison?,Terre Haute
91,http://www.freebase.com/view/en/yangtze_river,what sea does the yangtze river flow into?,East China Sea
92,http://www.freebase.com/view/en/miley_cyrus,who miley cyrus engaged to?,Liam Hemsworth
93,http://www.freebase.com/view/en/charles_darwin,what is charles darwin famous for?,Evolution
94,http://www.freebase.com/view/en/roanoke_colony,who founded the roanoke settlement?,Rainbow Bluff Expedition
95,http://www.freebase.com/view/en/jamaica,what kind of money should i take to jamaica?,Jamaican dollar
96,http://www.freebase.com/view/en/robert_downey_jr,who is robert downey jr wife?,Susan Downey
97,http://www.freebase.com/view/en/new_york_rangers,where do the ny rangers play?,Madison Square Garden
98,http://www.freebase.com/view/en/jefferson_davis,where is jefferson davis buried?,Hollywood Cemetery
99,http://www.freebase.com/view/en/stephenie_meyer,who does the author stephenie meyer play in the movie twilight?,Woman at Wedding
100,http://www.freebase.com/view/en/oscar_pistorius,when will oscar pistorius compete?,2012 Summer Olympics
101,http://www.freebase.com/view/en/dallas_cowboys,what years have the dallas cowboys won the superbowl?,Super Bowl XXVIII
102,http://www.freebase.com/view/en/louis_sachar,what awards has louis sachar won?,National Book Award for Young People's Literature
103,http://www.freebase.com/view/en/missouri,who are the current senators from missouri?,Claire McCaskill
104,http://www.freebase.com/view/en/john_f_kennedy,who was the president after jfk died?,Lyndon B. Johnson
105,http://www.freebase.com/view/en/egypt,what is the best currency to take to egypt 2013?,Egyptian pound
106,http://www.freebase.com/view/en/united_kingdom,what are the countries in the united kingdom?,Wales
107,http://www.freebase.com/view/en/united_states_navy,what planes does the navy have?,LTV A-7 Corsair II
108,http://www.freebase.com/view/en/benjamin_franklin,where did benjamin franklin died?,Philadelphia
109,http://www.freebase.com/view/en/northern_ireland,where to visit in n. ireland?,Antrim
110,http://www.freebase.com/view/en/cancun,what to do in cancun with family?,Belize Barrier Reef
111,http://www.freebase.com/view/en/israel,what is the local language of israel?,Hebrew Language
112,http://www.freebase.com/view/en/united_states_air_force_academy,what city and state was the air force academy established?,El Paso County
113,http://www.freebase.com/view/en/puerto_rico,what's the national sport of puerto rico?,Puerto Rico men's national volleyball team
114,http://www.freebase.com/view/en/russia,what religion are people in russia?,Russian Orthodox Church
115,http://www.freebase.com/view/en/shawnee_smith,what did shawnee smith play in?,The Grudge 3
116,http://www.freebase.com/view/en/victoria_of_the_united_kingdom,what countries did queen victoria reign over?,United Kingdom
117,http://www.freebase.com/view/en/dr_seuss,where did dr seuss go to school?,Dartmouth College
118,http://www.freebase.com/view/en/luis_suarez,what team does luis suarez play for?,Liverpool F.C.
119,http://www.freebase.com/view/en/spain,what are dollars called in spain?,Peseta
120,http://www.freebase.com/view/en/meg_griffin,who plays meg in family guy?,Mila Kunis
121,http://www.freebase.com/view/en/tim_allen,what high school did tim allen go to?,Seaholm High School
122,http://www.freebase.com/view/en/dubai,what is the world's tallest building in dubai called?,Burj Khalifa
123,http://www.freebase.com/view/en/asiana_airlines,where does asiana airlines fly to?,John F. Kennedy International Airport
124,http://www.freebase.com/view/en/angelina_jolie,what movie did angelina jolie direct?,In the Land of Blood and Honey
125,http://www.freebase.com/view/en/martin_luther_king_jr,where did martin luther king got shot?,Memphis
126,http://www.freebase.com/view/en/bangkok,where to visit near bangkok?,MRT Blue Line
127,http://www.freebase.com/view/en/christina_milian,who does christina milian have a baby by?,The-Dream
128,http://www.freebase.com/view/en/tutankhamun,what year did tut became king?,Eighteenth Dynasty of Egypt
129,http://www.freebase.com/view/en/dominican_republic,who is the current president of the dominican republic in 2010?,Leonel Fernández
130,http://www.freebase.com/view/en/julia_roberts,who has been married to julia roberts?,Daniel Moder
131,http://www.freebase.com/view/en/baltimore_ravens,where do baltimore ravens play?,M&T Bank Stadium
132,http://www.freebase.com/view/en/united_staff,where does the un get its funding?,United Nations Security Council
133,http://www.freebase.com/view/en/brandon_dubinsky,who does brandon dubinsky play for?,New York Rangers
134,http://www.freebase.com/view/en/taylor_swift,who all has dated taylor swift?,Harry Styles
135,http://www.freebase.com/view/en/israel,what is the dominant language in israel?,Hebrew Language
136,http://www.freebase.com/view/en/nigeria,what are the main languages of nigeria?,Ibibio Language
137,http://www.freebase.com/view/en/benjamin_franklin,what jobs did ben franklin do?,Diplomat
138,http://www.freebase.com/view/en/catholicism,what bible does the catholic church follow?,Book of Nehemiah
139,http://www.freebase.com/view/en/lola_bunny,who plays lola bunny in the looney tunes show?,Britt McKillip
140,http://www.freebase.com/view/en/arizona_cardinals,what stadium did the chicago cardinals play in?,University of Phoenix Stadium
141,http://www.freebase.com/view/en/rufus_wainwright,who did rufus wainwright married?,Jörn Weisbrodt
142,http://www.freebase.com/view/en/c_s_lewis,where did c.s. lewis go to college?,Malvern College
143,http://www.freebase.com/view/en/nick_clegg,what did nick clegg study at university?,Political philosophy
144,http://www.freebase.com/view/en/european_union,who is the president of the european union 2011?,Jerzy Buzek
145,http://www.freebase.com/view/en/cassie_bernall,what school did cassie bernall go to?,Columbine High School
146,http://www.freebase.com/view/en/james_frey,what movie did james frey write?,Sugar: The Fall of the West
147,http://www.freebase.com/view/en/rob_kardashian,what did rob kardashian get surgery for?,Appendicitis
148,http://www.freebase.com/view/en/gospel_of_matthew,what did st. matthew do?,The Gospel According to Matthew
149,http://www.freebase.com/view/en/harry_potter,when does harry potter come out on dvd deathly hallows 2?,The gospel according to Harry Potter
150,http://www.freebase.com/view/en/nelson_mandela,what was nelson mandela's religion?,Methodism
151,http://www.freebase.com/view/en/national_hockey_league,who will win the 2011 nhl stanley cup?,Canada
152,http://www.freebase.com/view/en/henry_clay,what is henry clay known for?,Lawyer
153,http://www.freebase.com/view/en/axl_rose,who did axl rose marry?,Erin Everly
154,http://www.freebase.com/view/en/brett_favre,what years did brett favre go to the super bowl?,1995 NFL season
155,http://www.freebase.com/view/en/spain,what is the money of spain called?,Euro
156,http://www.freebase.com/view/en/sunbeam_products,where are sunbeam microwaves made?,Florida
157,http://www.freebase.com/view/en/philippines,who was elected president of the philippines?,Carlos P. Garcia
158,http://www.freebase.com/view/en/ryanair,what cities does ryanair fly to?,Bergamo
159,http://www.freebase.com/view/en/oklahoma,what time zone is oklahoma state?,Central Time Zone
160,http://www.freebase.com/view/en/paul_of_tarsus,who was the apostle paul considered to be?,Paul of Tarsus
161,http://www.freebase.com/view/en/ontario,what currency does ontario canada use?,Canadian dollar
162,http://www.freebase.com/view/en/justin_bieber,what instrument does justin bieber?,guitar
163,http://www.freebase.com/view/en/shaquille_oneal,what team did shaq play for first?,Orlando Magic
164,http://www.freebase.com/view/en/john_f_kennedy,where was kennedy when he got shot?,Dallas
165,http://www.freebase.com/view/en/derek_fisher,who do derek fisher play for?,Los Angeles Lakers
166,http://www.freebase.com/view/en/caylee_anthony_homicide,where did the casey anthony case take place?,Orlando
167,http://www.freebase.com/view/en/bill_clinton,where did pres clinton go to college?,"University College, Oxford"
168,http://www.freebase.com/view/en/seattle,what was the name of the original seattle baseball team?,Seattle Mariners
169,http://www.freebase.com/view/en/charles_cornwallis_1st_marquess_cornwallis,who was general cornwallis american revolution?,British Army
170,http://www.freebase.com/view/en/england,what type of monarchy did england have?,Constitutional monarchy
171,http://www.freebase.com/view/en/texas_rangers,when were the texas rangers started?,1972
172,http://www.freebase.com/view/en/tennessee_titans,where did the houston oilers football team go?,Tennessee Titans
173,http://www.freebase.com/view/en/spanish,what do they call football in spanish?,XHVG-FM
174,http://www.freebase.com/view/en/pauley_perrette,where did pauley perrette go to college?,Valdosta State University
175,http://www.freebase.com/view/en/niles_crane,where does niles crane live?,Seattle
176,http://www.freebase.com/view/en/gabriel_faure,where was gabriel faure born?,France
177,http://www.freebase.com/view/en/kentucky,who is the governor of kentucky 2012?,Steve Beshear
178,http://www.freebase.com/view/en/united_states,who is the senator of the united states 2010?,Jefferson Sessions
179,http://www.freebase.com/view/en/france,where did the massive allied invasion of northern france take place in june 1944?,Normandy
180,http://www.freebase.com/view/en/united_kingdom,which countries are part of the united kingdom?,Eurasia
181,http://www.freebase.com/view/en/london,what is the postcode for london?,E15 4HT
182,http://www.freebase.com/view/en/vincent_chin,who killed vincent chin dvd?,Ronald Ebens
183,http://www.freebase.com/view/en/jules_verne,what other books did jules verne wrote?,Off on a Comet
184,http://www.freebase.com/view/en/brazil,what is the currency name of brazil?,Brazilian real
185,http://www.freebase.com/view/en/fiji,what language does fiji?,Fiji Hindi
186,http://www.freebase.com/view/en/percy_jackson_the_olympians,what is the second percy jackson book called?,The Sea of Monsters
187,http://www.freebase.com/view/en/gregor_mendel,what did gregor mendel conducted his experiments on?,Experiments in plant hybridisation
188,http://www.freebase.com/view/en/jon_gosselin,who did jon gosselin cheat with?,Deanna Hummel
189,http://www.freebase.com/view/en/mitsubishi,where is mitsubishi headquarters?,Tokyo
190,http://www.freebase.com/view/en/jay_cutler_1983,where is jay cutler now?,Chicago Bears
191,http://www.freebase.com/view/en/european_union,what are eu countries?,Czech Republic
192,http://www.freebase.com/view/en/vincent_van_gogh,what influenced vincent van gogh work?,Jozef Israëls
193,http://www.freebase.com/view/en/united_states,what time zones are there in the us?,North American Eastern Time Zone
194,http://www.freebase.com/view/en/united_states,what are the 5 biggest cities in the usa?,New York
195,http://www.freebase.com/view/en/austraila,what language do australian people speak?,Lojban
196,http://www.freebase.com/view/en/ben_stiller,who did ben stiller play in megamind?,Bernard
197,http://www.freebase.com/view/en/victoria_of_the_united_kingdom,what countries did queen victoria rule?,United Kingdom
198,http://www.freebase.com/view/en/betty_white,who are betty white's parents?,Tess Curtis Cachikis
199,http://www.freebase.com/view/en/jeff_dunham,where did jeff dunham go to school?,Baylor University
200,http://www.freebase.com/view/en/kevjumba,what college did kevjumba?,"University of California, Davis"
201,http://www.freebase.com/view/en/david_james,who does david james play for 2011?,Bristol City F.C.
202,http://www.freebase.com/view/en/tonkin,what was the purpose of the 1964 gulf of tonkin resolution?,Yen Bai mutiny
203,http://www.freebase.com/view/en/diana_ross,what movies did diana ross play in?,The Wiz
204,http://www.freebase.com/view/en/minneapolis,what is the zip code for minneapolis?,55406
205,http://www.freebase.com/view/en/west_bank,what country is the west bank located in?,Palestinian National Authority
206,http://www.freebase.com/view/en/european_golden_boot,who won golden boot?,Lionel Messi
207,http://www.freebase.com/view/en/jayne_mansfield,where did jane mansfield die?,Slidell
208,http://www.freebase.com/view/en/river_thames,where is the thames river located?,London
209,http://www.freebase.com/view/en/stanley_cup,when did kings last win stanley cup?,2012 Stanley Cup Finals
210,http://www.freebase.com/view/en/william_shakespeare,what school did william shakespeare attend?,"King Edward VI School, Stratford-upon-Avon"
211,http://www.freebase.com/view/en/chile,what money do they use in chile?,Chilean peso
212,http://www.freebase.com/view/en/peyton_manning,what college did peyton manning?,University of Tennessee
213,http://www.freebase.com/view/en/national_football_league,what are the 2 conferences in the nfl?,National Football Conference
214,http://www.freebase.com/view/en/jlo,when did jennifer lopez start on in living color?,In Living Color (Season 4)
215,http://www.freebase.com/view/en/portland,when is portland marathon?,Zora Lancaster
216,http://www.freebase.com/view/en/ellen_degeneres,what character does ellen play in finding nemo?,Dory
217,http://www.freebase.com/view/en/new_york_giants,when was the last time the ny giants were in the super bowl?,Super Bowl XXV
218,http://www.freebase.com/view/en/harry_potter,what are all the names of harry potter?,Harry Potter and the Half-Blood Prince
219,http://www.freebase.com/view/en/nick_cannon,what does nick cannon play in?,The Nightlife
220,http://www.freebase.com/view/en/brazil,what sort of government does brazil have?,Constitutional republic
221,http://www.freebase.com/view/en/milan_italy,which airport is best to fly into milan?,Il Caravaggio International Airport
222,http://www.freebase.com/view/en/matthias_jakob_schleiden,where did matthias schleiden go to school?,Ruprecht Karl University of Heidelberg
223,http://www.freebase.com/view/en/riannah,what county is rihanna from?,Saint Michael Parish
224,http://www.freebase.com/view/en/daddy_yankee,what happened to daddy yankee?,Gunshot
225,http://www.freebase.com/view/en/balkans,what country is located in the balkan peninsula?,Lake Prespa
226,http://www.freebase.com/view/en/south_dakota,what 6 states border south dakota?,Iowa
227,http://www.freebase.com/view/en/spain,what are the main languages spoken in spain?,Spanish Language
228,http://www.freebase.com/view/en/wolfgang_amadeus_mozart,what songs did mozart write?,1034 Mozartia
229,http://www.freebase.com/view/en/thai_language,what language do they speak in thai?,Tai–Kadai languages
230,http://www.freebase.com/view/en/montana,who is the new senator of montana?,Jon Tester
231,http://www.freebase.com/view/en/rome,which airport to fly in rome?,Ciampino – G.B. Pastine International Airport
232,http://www.freebase.com/view/en/pompeii,where are the ruins of pompeii?,Pompeii and the Roman Villa: Art and Culture around the Bay of Naples
233,http://www.freebase.com/view/en/afghanistan,what language people speak in afghanistan?,Pashto language
234,http://www.freebase.com/view/en/brazil,what language do people speak in brazil wikipedia?,Brazilian Portuguese
235,http://www.freebase.com/view/en/california,what cities should i visit in california?,Colusa County
236,http://www.freebase.com/view/en/princess_leia_organa,where was princess leia raised?,Polis Massa
237,http://www.freebase.com/view/en/pittsburgh_steelers,what is the name of the pittsburgh steelers head coach?,Mike Tomlin
238,http://www.freebase.com/view/en/canada,when does canada's wonderland close?,Émilie Heymans
239,http://www.freebase.com/view/en/minneapolis_lakers,when did the lakers win the championship?,1985 NBA Finals
240,http://www.freebase.com/view/en/san_francisco,what year was the great san francisco fire?,1906 San Francisco earthquake
241,http://www.freebase.com/view/en/france,what countries share borders with france?,Italy
242,http://www.freebase.com/view/en/patrick_swayze,what did patrick swayze sing?,She's Like The Wind
243,http://www.freebase.com/view/en/salvador_dali,what style of art is salvador dali?,Painting
244,http://www.freebase.com/view/en/leonardo_da_vinci,what city was leonardo da vinci from?,Vinci
245,http://www.freebase.com/view/en/george_v_of_the_united_kingdom,what did george v die of?,Euthanasia
246,http://www.freebase.com/view/en/south_america,what are the three major rivers in south america?,Yisrael Mordecai Safeek
247,http://www.freebase.com/view/en/isaac_newton,what other discoveries did isaac newton discover?,Reflecting telescope
248,http://www.freebase.com/view/en/pixar,who started pixar?,Edwin Catmull
249,http://www.freebase.com/view/en/tamera_mowry,who is tia and tamera mowry parents?,Darlene Mowry
250,http://www.freebase.com/view/en/abraham_lincoln,what political party was lincoln?,Illinois Republican Party
251,http://www.freebase.com/view/en/germany,what would have happened if germany had won ww1?,de
252,http://www.freebase.com/view/en/china,what kind of government is china?,Single-party state
253,http://www.freebase.com/view/en/greece,where is the nation of greece located?,Europe
254,http://www.freebase.com/view/en/mexico,what three countries does mexico border?,Pacific Ocean
255,http://www.freebase.com/view/en/new_york,what year was the new york blackout?,New York City blackout of 1977
256,http://www.freebase.com/view/en/english,which countries have english as native language?,Canada
257,http://www.freebase.com/view/en/rafael_furcal,what position does rafael furcal play?,Second baseman
258,http://www.freebase.com/view/en/united_states,what are major exports of the usa?,Pharmaceutical Preparations
259,http://www.freebase.com/view/en/kellie_martin,what shows did kellie martin star in?,A Pup Named Scooby-Doo
260,http://www.freebase.com/view/en/riannah,where did rihanna grow up?,Saint Michael Parish
261,http://www.freebase.com/view/en/whistler,where is whistler mountain located?,British Columbia
262,http://www.freebase.com/view/en/cuba,what currency do i need in cuba?,Cuban peso
263,http://www.freebase.com/view/en/james_cook,what country did james cook come from?,Kingdom of Great Britain
264,http://www.freebase.com/view/en/julia_roberts,who is julia roberts married to 2012?,Daniel Moder
265,http://www.freebase.com/view/en/rebecca_adlington,what sport does rebecca adlington compete in?,Swimming
266,http://www.freebase.com/view/en/christchurch,when did the christchurch quake happened?,2011 Christchurch earthquake
267,http://www.freebase.com/view/en/canada,what other countries does canada trade with?,United Kingdom
268,http://www.freebase.com/view/en/singapore,what to see in singapore at night?,Kampung Days
269,http://www.freebase.com/view/en/julia_wainwright_capwell,who played mason capwell?,Nancy Lee Grahn
270,http://www.freebase.com/view/en/james_madison,what is james madison most famous for?,President of the United States
271,http://www.freebase.com/view/en/maccabees,who did the maccabees revolted against?,Seleucid Empire
272,http://www.freebase.com/view/en/antietam_creek,where was the battle of antietam creek?,Pennsylvania
273,http://www.freebase.com/view/en/abraham_lincoln,during what war did abraham lincoln serve as president?,American Civil War
274,http://www.freebase.com/view/en/william_shakespeare,who are shakespeare's parents names?,John Shakespeare
275,http://www.freebase.com/view/en/shakira,where is she from shakira?,Colombia
276,http://www.freebase.com/view/en/james_t_kirk,who plays captain kirk in 2009?,Chris Pine
277,http://www.freebase.com/view/en/hera,who did hera marry?,Zeus
278,http://www.freebase.com/view/en/kirk_hammett,what type of guitar does kirk hammett play?,guitar
279,http://www.freebase.com/view/en/philippines,what language they speak in the philippines?,Filipino language
280,http://www.freebase.com/view/en/kakadu_national_park,where is the kakadu national park located?,Northern Territory
281,http://www.freebase.com/view/en/denver,what to do with kids in denver today?,Black American West Museum & Heritage Center
282,http://www.freebase.com/view/en/jamaica,what money does jamaica use?,Jamaican dollar
283,http://www.freebase.com/view/en/william_mckinley,what year did william mckinley became president?,1897
284,http://www.freebase.com/view/en/john_f_kennedy,what date did kennedy become president?,1/3/1947
285,http://www.freebase.com/view/en/colorado,what timezone is colorado in right now?,Mountain Time Zone
286,http://www.freebase.com/view/en/aston_martin,who owns aston martin 2012?,David Richards
287,http://www.freebase.com/view/en/jack_osbourne,what disease has jack osbourne got?,Multiple sclerosis
288,http://www.freebase.com/view/en/islam,what do the islamic believe?,Muslims
289,http://www.freebase.com/view/en/david_beckham,who will david beckham play for in 2013?,Paris Saint-Germain F.C.
290,http://www.freebase.com/view/en/chinese_taipei,what language they speak in taiwan?,Standard Mandarin
291,http://www.freebase.com/view/en/toronto_maple_leafs,who owns the toronto maple leafs?,Maple Leaf Sports & Entertainment
292,http://www.freebase.com/view/en/novato,what county is novato california in?,Marin County
293,http://www.freebase.com/view/en/sikhism,what are the basic beliefs of sikhism?,Saṃsāra
294,http://www.freebase.com/view/en/hernan_cortes,where did hernando cortez die?,Castilleja de la Cuesta
295,http://www.freebase.com/view/en/elizabeth_taylor,who was liz taylor married too?,Richard Burton
296,http://www.freebase.com/view/en/mesopotamia,where was the ancient region of mesopotamia?,Middle East
297,http://www.freebase.com/view/en/brandi_glanville,who was real housewives brandi married to?,Eddie Cibrian
298,http://www.freebase.com/view/en/charlotte_bobcats,when did the charlotte bobcats first play in the nba?,2004 NBA Draft
299,http://www.freebase.com/view/en/adolf_hitler,what's the book hitler wrote in prison?,Mein Kampf
300,http://www.freebase.com/view/en/ottoman_empire,where is the ottoman empire located?,Near East
301,http://www.freebase.com/view/en/olympic_games,which city held the summer olympics twice?,Olympic games
302,http://www.freebase.com/view/en/green_bay_packers,who are the green bay packers owned by?,Green Bay Packers Board of Directors
303,http://www.freebase.com/view/en/langston_hughes,what inspired langston hughes to write poetry?,Walt Whitman
304,http://www.freebase.com/view/en/switzerland,what languages are there in switzerland?,Romansh language
305,http://www.freebase.com/view/en/baltimore_orioles,when was the last time the orioles had a winning season?,1983 World Series
306,http://www.freebase.com/view/en/austraila,what does australia export?,Energy
307,http://www.freebase.com/view/en/henry_knox,where did henry knox die?,Thomaston
308,http://www.freebase.com/view/en/iceni,who was the queen of the iceni tribe?,Boudica
309,http://www.freebase.com/view/en/islam,what is the name of the first prophet of islam?,Muhammad
310,http://www.freebase.com/view/en/garry_trudeau,who is married to garry trudeau?,Jane Pauley
311,http://www.freebase.com/view/en/norway,where does norway get their oil?,Barents Euro-Arctic Council
312,http://www.freebase.com/view/en/northern_ireland,what language do they speak in northern ireland?,Irish
313,http://www.freebase.com/view/en/europe,what countries make up continental europe?,United Kingdom
314,http://www.freebase.com/view/en/abrahamic_religion,what do abrahamic religions have in common?,Monotheism
315,http://www.freebase.com/view/en/johnny_crawford,what did johnny crawford sing?,Judy Loves Me
316,http://www.freebase.com/view/en/abraham_lincoln,what did abraham lincoln do before he was president?,Statesman
317,http://www.freebase.com/view/en/sally_mclellan,what sport does sally pearson compete in?,Track and field athlete
318,http://www.freebase.com/view/en/atlanta_texas,where is atlanta texas located?,Cass County
