,id,url,question,answer,long_answer,final_answer
10,10,http://www.freebase.com/view/en/poland,what two countries invaded poland in the beginning of ww2?,Germany,"Germany invaded Poland from east on sept 1,1939 as part of a coordinated surprise attack. Then it was joined by Soviet Union on sept 17th, to also invade and occupy eastern borderlands of the country","Germany Germany invaded Poland from east on sept 1,1939 as part of a coordinated surprise attack. Then it was joined by Soviet Union on sept 17th, to also invade and occupy eastern borderlands of the country"
11,11,http://www.freebase.com/view/en/cleveland_ohio,what time zone am i in cleveland ohio?,North American Eastern Time Zone,"I am an AI language model and do not have the ability to determine your physical location. You can try using a mapping application or website to find out where you are located, or ask someone nearby for assistance.","North American Eastern Time Zone I am an AI language model and do not have the ability to determine your physical location. You can try using a mapping application or website to find out where you are located, or ask someone nearby for assistance."
12,12,http://www.freebase.com/view/en/draco_malfoy,who did draco malloy end up marrying?,Astoria Greengrass,"In the Harry Potter book series, Draco Malfoy does not end up marrying anyone. He is mentioned as having a son named Scorpius in one of the later books and it can be assumed that he remains single throughout his life or ends up marrying someone outside the wizarding world since he has been disowned by his family for not being able to fulfill their mission assigned to him which was to kill Albus Potter","Astoria Greengrass In the Harry Potter book series, Draco Malfoy does not end up marrying anyone. He is mentioned as having a son named Scorpius in one of the later books and it can be assumed that he remains single throughout his life or ends up marrying someone outside the wizarding world since he has been disowned by his family for not being able to fulfill their mission assigned to him which was to kill Albus Potter"
13,13,http://www.freebase.com/view/en/united_states,which countries border the us?,Canada,Canada and Mexico,Canada Canada and Mexico
14,14,http://www.freebase.com/view/en/rome,where is rome italy located on a map?,Rome,"Reggio Calabria is the southernmost region in Italy, it's located at the tip of the ""boot"" of Italy","Rome Reggio Calabria is the southernmost region in Italy, it's located at the tip of the ""boot"" of Italy"
15,15,http://www.freebase.com/view/en/nina_dobrev,what is nina dobrev nationality?,Bulgaria,Bulgarian-Canadian,Bulgaria Bulgarian-Canadian
16,16,http://www.freebase.com/view/en/iceland,what country does iceland belong to?,Iceland,"The International Criminal Court (ICC) is an intergovernmental organization and international tribunal that sits in the Dutch city of The Hague, Netherlands.","Iceland The International Criminal Court (ICC) is an intergovernmental organization and international tribunal that sits in the Dutch city of The Hague, Netherlands."
17,17,http://www.freebase.com/view/en/john_f_kennedy,which kennedy died first?,John F. Kennedy,It appears that you are asking about two different people named Kennedy and whether one of them passed away before the other. Could you please provide more context or clarify your question?,John F. Kennedy It appears that you are asking about two different people named Kennedy and whether one of them passed away before the other. Could you please provide more context or clarify your question?
18,18,http://www.freebase.com/view/en/beverly_cleary,what books did beverly cleary right?,Ramona's World,"Beverly Cleary wrote many popular children's books, including the ""Ramona"" series and the ""Henry Huggins"" series. Some of her most well-known titles include:

* ""Beezus and Ramona"" (1955)
* ""Cleary and Teller"" (2017)
* ""The Complete Adventures of Bummer Summer"" (2008)
* ""Dear Mr. Henshaw"" (1973)
* ""The Luckiest Girl in School"" (2004)","Ramona's World Beverly Cleary wrote many popular children's books, including the ""Ramona"" series and the ""Henry Huggins"" series. Some of her most well-known titles include:

* ""Beezus and Ramona"" (1955)
* ""Cleary and Teller"" (2017)
* ""The Complete Adventures of Bummer Summer"" (2008)
* ""Dear Mr. Henshaw"" (1973)
* ""The Luckiest Girl in School"" (2004)"
19,19,http://www.freebase.com/view/en/philippines,who did the philippines gain independence from?,United States of America,"The Philippine Islands were ceded to the United States by Spain in 1898 following its defeat in the Spanish-American War.
From 1521 to 1861, parts of it were governed by Mexico (its immediate predecessor state after its separation from the Viceroyalty of New Spain). During this time, it was known as La Provincia de San Carlos or Comandancia General de los Tres García [The Province of Saint Charles / Commandancy General of the Three Garcias]. Its seat was established at Zamboanga, but transferred in 1802 to Imus City and then again in 1834 to Manila whereupon its jurisdiction became coterminous with that of Las Islas Filipinas [the Philippines] instead being renamed as Ocupación Militar [Military Occupation], a name later adopted for all other territories outside Luzon not included within the Insular area delimitated by Republic Act No. 7878 dated December 10, 1993.[1][2]","United States of America The Philippine Islands were ceded to the United States by Spain in 1898 following its defeat in the Spanish-American War.
From 1521 to 1861, parts of it were governed by Mexico (its immediate predecessor state after its separation from the Viceroyalty of New Spain). During this time, it was known as La Provincia de San Carlos or Comandancia General de los Tres García [The Province of Saint Charles / Commandancy General of the Three Garcias]. Its seat was established at Zamboanga, but transferred in 1802 to Imus City and then again in 1834 to Manila whereupon its jurisdiction became coterminous with that of Las Islas Filipinas [the Philippines] instead being renamed as Ocupación Militar [Military Occupation], a name later adopted for all other territories outside Luzon not included within the Insular area delimitated by Republic Act No. 7878 dated December 10, 1993.[1][2]"
20,20,http://www.freebase.com/view/en/bali,where to fly into bali?,Ngurah Rai Airport,"The best way to fly directly from Bangkok, Thailand (BKK) to Bali, Indonesia would be with a reputable airline such as Garuda Indonesia. They offer direct flights between the two destinations and have great reviews for their customer service and amenities on board. I hope this helps! Let me know if you have any other questions.","Ngurah Rai Airport The best way to fly directly from Bangkok, Thailand (BKK) to Bali, Indonesia would be with a reputable airline such as Garuda Indonesia. They offer direct flights between the two destinations and have great reviews for their customer service and amenities on board. I hope this helps! Let me know if you have any other questions."
21,21,http://www.freebase.com/view/en/ethiopia,who is the prime minister of ethiopia?,Hailemariam Desalegn,"The current Prime Minister of Ethiopia is Abiy Ahmed. He has been in power since April 2018, and his party is the Oromo Democratic Party (ODP).
* **March**:
- Members of Parliament from the ODP were elected to office in the March general election, making Abiy Ahmed the new PM following Hailemariam Desalegn's resignation.
- Abiy introduced numerous progressive reforms such as loosening state control over economy & media. He also made peace with Eritrea by ending the border dispute over Badme & normalizing relations between both countries through embassies exchange etc.
* **April**:
- After his visit to United States & Saudi Arabia was cancelled due to domestic crisis caused by unrest within military resulting into a coup attempt & assassination attempts on him personally. Ahmed declared a national emergency for a few months until relative calm restored across regions especially in Amhara & Somali where most incidents occurred earlier before he ended emergency rule.","Hailemariam Desalegn The current Prime Minister of Ethiopia is Abiy Ahmed. He has been in power since April 2018, and his party is the Oromo Democratic Party (ODP).
* **March**:
- Members of Parliament from the ODP were elected to office in the March general election, making Abiy Ahmed the new PM following Hailemariam Desalegn's resignation.
- Abiy introduced numerous progressive reforms such as loosening state control over economy & media. He also made peace with Eritrea by ending the border dispute over Badme & normalizing relations between both countries through embassies exchange etc.
* **April**:
- After his visit to United States & Saudi Arabia was cancelled due to domestic crisis caused by unrest within military resulting into a coup attempt & assassination attempts on him personally. Ahmed declared a national emergency for a few months until relative calm restored across regions especially in Amhara & Somali where most incidents occurred earlier before he ended emergency rule."
22,22,http://www.freebase.com/view/en/sedona,what to see near sedona arizona?,Sedona Airport,"Sedona is surrounded by many beautiful and interesting destinations. Some of the popular ones include:
1 - Oak Creek Canyon – home to one of Arizona’s most scenic drives, the canyon features lush forestry with towering red rocks as its backdrop. You will enjoy cooling off in its shimmering streams. Hikers also find solace here. 
2 - Grand Canyon National Park– located just under two hours drive from Sedona via US-89 S & AZ-64W is this iconic natural wonder that is home to deep gorges carved through the centuries by river activity now harboring various species like condors, rattlesnakes, squirrels, elk, bobcats, coyotes, foxes etc. This park also doubles up an adventurer's haven where you can hike or bike across trails spread throughout; or raft down the Colorado River for the best experience yet!","Sedona Airport Sedona is surrounded by many beautiful and interesting destinations. Some of the popular ones include:
1 - Oak Creek Canyon – home to one of Arizona’s most scenic drives, the canyon features lush forestry with towering red rocks as its backdrop. You will enjoy cooling off in its shimmering streams. Hikers also find solace here. 
2 - Grand Canyon National Park– located just under two hours drive from Sedona via US-89 S & AZ-64W is this iconic natural wonder that is home to deep gorges carved through the centuries by river activity now harboring various species like condors, rattlesnakes, squirrels, elk, bobcats, coyotes, foxes etc. This park also doubles up an adventurer's haven where you can hike or bike across trails spread throughout; or raft down the Colorado River for the best experience yet!"
23,23,http://www.freebase.com/view/en/bill_clinton,what high school did president bill clinton attend?,Hot Springs High School,Georgetown University,Hot Springs High School Georgetown University
24,24,http://www.freebase.com/view/en/russia,what form of government does russia have today?,Constitutional republic,"The Russian Federation is a federal presidential republic. It has a centralized, highly uniform structure with the following features:

1. A single constitutionally recognized head of state—the President;
2. A unicameral legislature—the Federal Assembly (though bills are subject to being reviewed and/or blocked by upper house);
3. A strong central government apparatus under the Prime Minister that can override other authorities when necessary[4].","Constitutional republic The Russian Federation is a federal presidential republic. It has a centralized, highly uniform structure with the following features:

1. A single constitutionally recognized head of state—the President;
2. A unicameral legislature—the Federal Assembly (though bills are subject to being reviewed and/or blocked by upper house);
3. A strong central government apparatus under the Prime Minister that can override other authorities when necessary[4]."
25,25,http://www.freebase.com/view/en/taylor_lautner,what movies does taylor lautner play in?,Abduction,"Abduction, Tracers, The Ridiculous 6","Abduction Abduction, Tracers, The Ridiculous 6"
26,26,http://www.freebase.com/view/en/lebron_james,what year lebron james came to the nba?,2003–04 NBA season,Lebron James was drafted by the Cleveland Cavaliers with pick #1 overall in the 2003 NBA Draft.,2003–04 NBA season Lebron James was drafted by the Cleveland Cavaliers with pick #1 overall in the 2003 NBA Draft.
27,27,http://www.freebase.com/view/en/german_language,what did the german revolution lead to?,German Democratic Republic,"The German Revolution of 1918-1920 was a major turning point in modern European history. It led to the collapse of the German monarchy, the end of the imperial government and its replacement by more democratic institutions. Ultimately it forced Germany into becoming a republic.[4]","German Democratic Republic The German Revolution of 1918-1920 was a major turning point in modern European history. It led to the collapse of the German monarchy, the end of the imperial government and its replacement by more democratic institutions. Ultimately it forced Germany into becoming a republic.[4]"
28,28,http://www.freebase.com/view/en/adriana_lima,how much did adriana lima gain during pregnancy?,Spike Guys' Choice Awards,"Adriana Lima gained approximately 50-60 pounds (22.7-27.2 kg) while she was pregnant with her son, Anaya Lima Orlandi.","Spike Guys' Choice Awards Adriana Lima gained approximately 50-60 pounds (22.7-27.2 kg) while she was pregnant with her son, Anaya Lima Orlandi."
29,29,http://www.freebase.com/view/en/thai_language,what does thai mean?,Language,"Thai is a language spoken in countries including Cambodia, Laos and Vietnam. In China, it is known as Dai or Tai. This originates from the ethnic group also known as the Thais or Tai who came to Sichuan province during Tang dynasty (618-907AD). There are over 22 million speakers of this beautiful tonal language with over 40 dialects grouped into three regions: Northern Thai, Southern Thai, and Central or Lao Thai.","Language Thai is a language spoken in countries including Cambodia, Laos and Vietnam. In China, it is known as Dai or Tai. This originates from the ethnic group also known as the Thais or Tai who came to Sichuan province during Tang dynasty (618-907AD). There are over 22 million speakers of this beautiful tonal language with over 40 dialects grouped into three regions: Northern Thai, Southern Thai, and Central or Lao Thai."
30,30,http://www.freebase.com/view/en/wives_of_henry_viii,which wife did king henry behead?,Anne of the Thousand Days,"King Henry VIII of England was infamous for his tempestuous marital relationships, particularly with his first two wives.

His first wife, Catherine of Aragon, he married in 1503 at the age of seventeen. She bore him a daughter, Mary, but failed to provide him with a male heir. After many years of marriage, and after several miscarriages, Henry sought an annulment from Catherine on the grounds that she had been unfaithful while she lived as a princess in her native Spain. The Pope refused the annulment request twice before granting it, paving the way for Henry's second (and ultimately third) wives.","Anne of the Thousand Days King Henry VIII of England was infamous for his tempestuous marital relationships, particularly with his first two wives.

His first wife, Catherine of Aragon, he married in 1503 at the age of seventeen. She bore him a daughter, Mary, but failed to provide him with a male heir. After many years of marriage, and after several miscarriages, Henry sought an annulment from Catherine on the grounds that she had been unfaithful while she lived as a princess in her native Spain. The Pope refused the annulment request twice before granting it, paving the way for Henry's second (and ultimately third) wives."
31,31,http://www.freebase.com/view/en/ishmael,who was ishmael's mom?,Hagar,"I apologize, but as an artificial intelligence language model, I do not have information about any individuals beyond my programming and training data.","Hagar I apologize, but as an artificial intelligence language model, I do not have information about any individuals beyond my programming and training data."
32,32,http://www.freebase.com/view/en/malcolm_x,what was malcolm x trying to accomplish?,African Americans' rights,"Malcolm X, who also went by the name el-Hajj El-Mustafa Shabazz (1925–10), was an African American Muslim minister and human rights activist","African Americans' rights Malcolm X, who also went by the name el-Hajj El-Mustafa Shabazz (1925–10), was an African American Muslim minister and human rights activist"
33,33,http://www.freebase.com/view/en/netherlands,where are the netherlands on a world map?,Kingdom of the Netherlands,"The Netherlands is located in Western Europe, specifically in the south-west region of the continent. It shares borders with Belgium to the south and east, as well as Germany to the east. To its west is the North Sea, part of the Atlantic Ocean, which also separates it from Great Britain.
The country is roughly twice the size of New Jersey and has a population around 18 million people.","Kingdom of the Netherlands The Netherlands is located in Western Europe, specifically in the south-west region of the continent. It shares borders with Belgium to the south and east, as well as Germany to the east. To its west is the North Sea, part of the Atlantic Ocean, which also separates it from Great Britain.
The country is roughly twice the size of New Jersey and has a population around 18 million people."
34,34,http://www.freebase.com/view/en/brazil,what is the president of brazil?,Dilma Rousseff,The current President of Brazil as of my knowledge cutoff in September 2021 was Jair Bolsonaro.,Dilma Rousseff The current President of Brazil as of my knowledge cutoff in September 2021 was Jair Bolsonaro.
35,35,http://www.freebase.com/view/en/france,what are the major cities in france?,Paris,Major cities include Paris and Lyon,Paris Major cities include Paris and Lyon
36,36,http://www.freebase.com/view/en/esther,what city did esther live in?,Susa,​,Susa ​
37,37,http://www.freebase.com/view/en/toronto_maple_leafs,what sport do the toronto maple leafs play?,Ice Hockey,"The Toronto Maple Leafs are a professional ice hockey team based in Toronto, Ontario. They compete in the National Hockey League (NHL) as part of the Atlantic Division within the Eastern Conference.","Ice Hockey The Toronto Maple Leafs are a professional ice hockey team based in Toronto, Ontario. They compete in the National Hockey League (NHL) as part of the Atlantic Division within the Eastern Conference."
38,38,http://www.freebase.com/view/en/nicholas_ii_of_russia,what is saint nicholas known for?,Grand Duke Alexander Alexandrovich of Russia,"Saint Augustine of Hippo was a Christian philosopher and theologian who lived during Late Antiquity. He was born in Numidia (modern-day Algeria) to a Berber family and became bishop of Hippo Regius (modern-day Annaba, Algeria), where he served as bishop from 396 AD until his death in 430 AD. He is one of the most important figures in Western Christianity and is considered one of the greatest Christian thinkers of all time.

Augustine's major contributions lie in the realm of philosophical theology, including his interpretation of classical texts, especially works of Plato and Neoplatonists;","Grand Duke Alexander Alexandrovich of Russia Saint Augustine of Hippo was a Christian philosopher and theologian who lived during Late Antiquity. He was born in Numidia (modern-day Algeria) to a Berber family and became bishop of Hippo Regius (modern-day Annaba, Algeria), where he served as bishop from 396 AD until his death in 430 AD. He is one of the most important figures in Western Christianity and is considered one of the greatest Christian thinkers of all time.

Augustine's major contributions lie in the realm of philosophical theology, including his interpretation of classical texts, especially works of Plato and Neoplatonists;"
39,39,http://www.freebase.com/view/en/essex,when is the new series of the only way is essex starting?,West Horndon,The show was renewed for seasons 20-24,West Horndon The show was renewed for seasons 20-24
40,40,http://www.freebase.com/view/en/cher,what is cher's son's name?,Elijah Blue Allman,Chaz,Elijah Blue Allman Chaz
41,41,http://www.freebase.com/view/en/martin_cooper,what is martin cooper doing now?,Inventor,"Martin Cooper was a former engineer who famously made the first-ever cell phone call on April 3, 1973. As of my knowledge cutoff in September 2021, he had retired from his career at Motorola and was living a quiet life in Florida with his wife. He remained an inspiration to many for his role in advancing mobile technology and making communication more accessible worldwide.","Inventor Martin Cooper was a former engineer who famously made the first-ever cell phone call on April 3, 1973. As of my knowledge cutoff in September 2021, he had retired from his career at Motorola and was living a quiet life in Florida with his wife. He remained an inspiration to many for his role in advancing mobile technology and making communication more accessible worldwide."
42,42,http://www.freebase.com/view/en/andrew_jackson,what party was andrew jackson?,Democratic-Republican Party,"Andrew Jackson, the seventh president of the United States, is considered one of the founders of the Democratic Party. He was a key leader in the early days of American politics and played an important role in shaping the country's political system.","Democratic-Republican Party Andrew Jackson, the seventh president of the United States, is considered one of the founders of the Democratic Party. He was a key leader in the early days of American politics and played an important role in shaping the country's political system."
43,43,http://www.freebase.com/view/en/medicare,what is medicare a?,Centers for Medicare and Medicaid Services,"""medic a"" could refer to any number of different things. It might be an abbreviation for something, in which case more context would be needed to determine its meaning. It could also potentially be the name of a drug or other substance, although without knowing anything about this ""medic a,"" it's impossible to say what it does or how it works. Can you provide more information or context so that I can better understand your question and provide an accurate answer?","Centers for Medicare and Medicaid Services ""medic a"" could refer to any number of different things. It might be an abbreviation for something, in which case more context would be needed to determine its meaning. It could also potentially be the name of a drug or other substance, although without knowing anything about this ""medic a,"" it's impossible to say what it does or how it works. Can you provide more information or context so that I can better understand your question and provide an accurate answer?"
44,44,http://www.freebase.com/view/en/hampton,what county is the city of hampton va in?,Hampton,"Hampton, Virginia is located in the state of Virginia in the United States. It is part of the Hampton Roads Metropolitan Statistical Area and is included in the Hampton Roads MSA as well. The state itself is divided into counties and independent cities which are treated much like counties for most purposes. Currently, there are 95 counties across Virginia which are listed here:
<https://en.wikipedia.org/wiki/List_of_counties_in_Virginia>","Hampton Hampton, Virginia is located in the state of Virginia in the United States. It is part of the Hampton Roads Metropolitan Statistical Area and is included in the Hampton Roads MSA as well. The state itself is divided into counties and independent cities which are treated much like counties for most purposes. Currently, there are 95 counties across Virginia which are listed here:
<https://en.wikipedia.org/wiki/List_of_counties_in_Virginia>"
45,45,http://www.freebase.com/view/en/harry_potter,what is the name of the first harry potter novel?,Harry Potter and the Philosopher's Stone,The Philosopher's Stone,Harry Potter and the Philosopher's Stone The Philosopher's Stone
46,46,http://www.freebase.com/view/en/william_shakespeare,what did william shakespeare do for a living?,Poet,"William Shakespeare was an English poet, playwright and actor. He is widely regarded as one of the greatest writers in history and has had a profound impact on literature, drama, language and culture all over the world.","Poet William Shakespeare was an English poet, playwright and actor. He is widely regarded as one of the greatest writers in history and has had a profound impact on literature, drama, language and culture all over the world."
47,47,http://www.freebase.com/view/en/london_heathrow_airport,what county is heathrow airport in?,London,"Heathrow Airport, also known as London Heathrow, is located within the borough of Hillingdon in west London.

The precise coordinates for Terminal 5 are: N51°24.9' W0°27.6'. These can be used to find your position on a map or use them with other applications that require latitude and longitude data such as Google Maps or other GPS-enabled devices.","London Heathrow Airport, also known as London Heathrow, is located within the borough of Hillingdon in west London.

The precise coordinates for Terminal 5 are: N51°24.9' W0°27.6'. These can be used to find your position on a map or use them with other applications that require latitude and longitude data such as Google Maps or other GPS-enabled devices."
48,48,http://www.freebase.com/view/en/dmitri_mendeleev,where did dmitri mendeleev study science?,Saint Petersburg State University,Dimitry Mendeleev studied science at the Saint Petersburg University,Saint Petersburg State University Dimitry Mendeleev studied science at the Saint Petersburg University
49,49,http://www.freebase.com/view/en/josh_hutcherson,what movie is josh hutcherson in?,Cirque du Freak: The Vampire's Assistant,"Josh Hutcherson is an American actor. He has appeared in several movies such as ""Bridge to Terabithia"", ""Journey 2: The Mysterious Island"", and the ""Hunger Games"" series, among others.","Cirque du Freak: The Vampire's Assistant Josh Hutcherson is an American actor. He has appeared in several movies such as ""Bridge to Terabithia"", ""Journey 2: The Mysterious Island"", and the ""Hunger Games"" series, among others."
50,50,http://www.freebase.com/view/en/laredo,what is there to do in laredo tx?,Veterans Field,"There are a number of places you can visit.
* The La Lomita Park: an outdoor recreational area with walking trails, picnic areas and a playground for kids.[1]
* The Quinta Maza Event Centre: host of many large events throughout the year[2].
* Plaza Retama: This mall has a movie theatre as well as various stores [3].
* McDonald's: not quite on par with some other venues listed here yet still provides an enjoyable experience for all ages![4]

Does this help with ideas for things to see? If so I can provide more! Let me know if you have any further questions and I will be happy to answer them :)","Veterans Field There are a number of places you can visit.
* The La Lomita Park: an outdoor recreational area with walking trails, picnic areas and a playground for kids.[1]
* The Quinta Maza Event Centre: host of many large events throughout the year[2].
* Plaza Retama: This mall has a movie theatre as well as various stores [3].
* McDonald's: not quite on par with some other venues listed here yet still provides an enjoyable experience for all ages![4]

Does this help with ideas for things to see? If so I can provide more! Let me know if you have any further questions and I will be happy to answer them :)"
51,51,http://www.freebase.com/view/en/tony_soprano,what season did tony soprano get shot?,The Sopranos,"Tony Soprano was a fictional character in the TV series ""The Sopranos."" In the show's final episode, ""Made in America,"" he leaves his house with two bodyguards on his way to the diner. He then gets distracted by an incoming call from his daughter Meadow who has forgotten her ID at home and is waiting for him outside the mattress store. While stopped in traffic and still talking to Meadow, he tells the driver, Jim Vadalmaestro, that he has something to do but will be able to take on an important job in three months when it surfaces.[1]
2. Silvio Mancini, the consigliere of the DiMeo crime family,[3][4] arrives at Bada Bing after being phoned there by Jon Flemmi on behalf of Frank Sheeran via Ronnie Peterson.[5][6] The reason behind this decision has been debated over time since its 2007 release as the screen fades out.","The Sopranos Tony Soprano was a fictional character in the TV series ""The Sopranos."" In the show's final episode, ""Made in America,"" he leaves his house with two bodyguards on his way to the diner. He then gets distracted by an incoming call from his daughter Meadow who has forgotten her ID at home and is waiting for him outside the mattress store. While stopped in traffic and still talking to Meadow, he tells the driver, Jim Vadalmaestro, that he has something to do but will be able to take on an important job in three months when it surfaces.[1]
2. Silvio Mancini, the consigliere of the DiMeo crime family,[3][4] arrives at Bada Bing after being phoned there by Jon Flemmi on behalf of Frank Sheeran via Ronnie Peterson.[5][6] The reason behind this decision has been debated over time since its 2007 release as the screen fades out."
52,52,http://www.freebase.com/view/en/san_francisco_giants,where do the san francisco giants play home games?,AT&T Park,"The San Francisco Giants are a major league baseball team that plays it's home games in AT&T Park located at 24 Willie Mays Plaza, San Francisco, California.","AT&T Park The San Francisco Giants are a major league baseball team that plays it's home games in AT&T Park located at 24 Willie Mays Plaza, San Francisco, California."
53,53,http://www.freebase.com/view/en/william_jennings_bryan,what year did william jennings bryan run for president?,1900 Democratic National Convention,1896,1900 Democratic National Convention 1896
54,54,http://www.freebase.com/view/en/frederick_douglass,what was the name of frederick douglass book?,"Narrative of the Life of Frederick Douglass, an American Slave","""Narrative of the Life of Frederick Douglass, an American Slave""","Narrative of the Life of Frederick Douglass, an American Slave ""Narrative of the Life of Frederick Douglass, an American Slave"""
55,55,http://www.freebase.com/view/en/victoria_of_the_united_kingdom,who was queen victoria's parents called?,"Prince Edward, Duke of Kent and Strathearn","The first person to call a Victoria ""Vic"" is not definitively known, as it may have been used in conversation or informally among friends and family before being recorded officially. However, Queen Victoria herself did use the nickname ""Drina,"" which originated from her middle name, Alexandrina (her full given names were Victoria Alexandra Olga Mary of Holstein-Gottorp). So perhaps she also had another informal nickname that has simply gone unrecorded.","Prince Edward, Duke of Kent and Strathearn The first person to call a Victoria ""Vic"" is not definitively known, as it may have been used in conversation or informally among friends and family before being recorded officially. However, Queen Victoria herself did use the nickname ""Drina,"" which originated from her middle name, Alexandrina (her full given names were Victoria Alexandra Olga Mary of Holstein-Gottorp). So perhaps she also had another informal nickname that has simply gone unrecorded."
56,56,http://www.freebase.com/view/en/sally_field,what movies did sally field win an oscar for?,Places in the Heart,"Sally Field won her first Oscar in 1979, which she played the role of Norma Rae.
She also has two other Oscars: one for Places in the Heart (1984), and another for Forrest Gump (1993) as well as a Golden Globe Award for playing Nora Ephron's screenwriter Francesca del Valle in Julie & Julia.","Places in the Heart Sally Field won her first Oscar in 1979, which she played the role of Norma Rae.
She also has two other Oscars: one for Places in the Heart (1984), and another for Forrest Gump (1993) as well as a Golden Globe Award for playing Nora Ephron's screenwriter Francesca del Valle in Julie & Julia."
57,57,http://www.freebase.com/view/en/sherlock_holmes,what is the first book sherlock holmes appeared in?,A Study in Scarlet,"""A Study in Scarlet""","A Study in Scarlet ""A Study in Scarlet"""
58,58,http://www.freebase.com/view/en/michael_weston,what type of car does michael weston drive?,Wishcraft,"Michael Weston is an actor best known for his role as J.P. in the TV show ""Burn Notice"" and Special Agent David Hatcher in the film series ""Nightcrawler."" While he has played characters who drive cars on screen, there doesn't seem to be any information available about which specific car(s)","Wishcraft Michael Weston is an actor best known for his role as J.P. in the TV show ""Burn Notice"" and Special Agent David Hatcher in the film series ""Nightcrawler."" While he has played characters who drive cars on screen, there doesn't seem to be any information available about which specific car(s)"
59,59,http://www.freebase.com/view/en/lena_river,where does lena river begin and end?,Baikal Mountains,"The Lovat River begins in the Moray Firth and flows north to Fort Augustus before being joined by a major tributary, the River Oykel at Inverness. It then continues east through Aviemore, Grantown-on-Spey, Craigellachie and Aberlour. From there it passes over the River's only substantial falls at Blackfordhill Bridge. Shortly afterwards it enters the town of Elgin, passing under three bridges before entering the harbour mouth on the North Sea between Elgin Bay and Lossiemuir Bay","Baikal Mountains The Lovat River begins in the Moray Firth and flows north to Fort Augustus before being joined by a major tributary, the River Oykel at Inverness. It then continues east through Aviemore, Grantown-on-Spey, Craigellachie and Aberlour. From there it passes over the River's only substantial falls at Blackfordhill Bridge. Shortly afterwards it enters the town of Elgin, passing under three bridges before entering the harbour mouth on the North Sea between Elgin Bay and Lossiemuir Bay"
